Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
18,IND,T.J. Leaf,"University of California, Los Angeles",2,95,832,313,166,26,0.508,0.358,0.622,8.8,3.3,1.7,0.3,1.9,0.109,-3.3,-0.3
19,ATL,John Collins,Wake Forest University,2,120,3163,1672,980,188,0.573,0.368,0.743,26.4,13.9,8.2,1.6,9.9,0.151,1.4,2.7
20,POR,Harry Giles,Duke University,1,48,634,311,176,63,0.506,0,0.625,13.2,6.5,3.7,1.3,0.8,0.057,-2.2,0
21,OKC,Terrance Ferguson,,2,114,2076,553,138,67,0.431,0.362,0.7,18.2,4.9,1.2,0.6,3.3,0.077,-2.1,0
22,BRK,Jarrett Allen,University of Texas at Austin,2,133,3083,1270,916,139,0.582,0.2,0.745,23.2,9.5,6.9,1,10,0.156,1.4,2.7
23,TOR,OG Anunoby,Indiana University,2,125,2517,800,340,89,0.458,0.36,0.558,20.1,6.4,2.7,0.7,4.4,0.084,-0.3,1.1
24,UTA,Tyler Lydon,Syracuse University,2,25,92,21,17,5,0.471,0.4,0.333,3.7,0.8,0.7,0.2,0.1,0.067,-3.2,0
25,ORL,Anzejs Pasecniks,,,,,,,,,,,,,,,,,,
26,POR,Caleb Swanigan,Purdue University,2,45,334,96,106,21,0.365,0.154,0.72,7.4,2.1,2.4,0.5,-0.3,-0.039,-7.2,-0.4
27,BRK,Kyle Kuzma,University of Utah,2,134,4271,2334,803,281,0.46,0.344,0.732,31.9,17.4,6,2.1,7,0.079,-1.2,0.8
28,LAL,Tony Bradley,University of North Carolina,2,10,38,8,14,1,0.214,0,1,3.8,0.8,1.4,0.1,0,-0.056,-12.7,-0.1
29,SAS,Derrick White,University of Colorado,2,65,1352,515,196,183,0.492,0.38,0.752,20.8,7.9,3,2.8,2.9,0.103,0.6,0.9
30,UTA,Josh Hart,Villanova University,2,121,2949,960,486,163,0.436,0.361,0.693,24.4,7.9,4,1.3,5.2,0.085,-0.4,1.2
31,CHO,Frank Jackson,Duke University,1,48,768,294,87,46,0.42,0.276,0.75,16,6.1,1.8,1,0.2,0.013,-5.3,-0.6
32,PHO,Davon Reed,University of Miami,2,28,262,68,41,15,0.3,0.308,0.667,9.4,2.4,1.5,0.5,-0.3,-0.049,-6.5,-0.3
33,ORL,Wesley Iwundu,Kansas State University,2,111,1879,472,262,100,0.417,0.275,0.772,16.9,4.3,2.4,0.9,1.8,0.045,-3.3,-0.6
34,SAC,Frank Mason,University of Kansas,2,86,1379,578,168,229,0.389,0.309,0.774,16,6.7,2,2.7,1,0.033,-3.6,-0.6
35,ORL,Ivan Rabb,University of California,2,68,903,374,277,61,0.583,0.286,0.737,13.3,5.5,4.1,0.9,2.6,0.138,-0.6,0.3
36,PHI,Jonah Bolden,,1,32,414,135,113,21,0.514,0.328,0.444,12.9,4.2,3.5,0.7,0.8,0.092,0.1,0.2
37,BOS,Semi Ojeleye,Southern Methodist University,2,115,1604,337,228,38,0.379,0.316,0.631,13.9,2.9,2,0.3,1.8,0.055,-3.5,-0.6
38,CHI,Jordan Bell,University of Oregon,2,108,1390,426,349,161,0.588,0,0.667,12.9,3.9,3.2,1.5,4.5,0.154,2.7,1.7
