Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
1,CLE,Anthony Bennett,"University of Nevada, Las Vegas",4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-5.6,-1.7
2,ORL,Victor Oladipo,Indiana University,6,402,13360,7028,1859,1589,0.443,0.352,0.793,33.2,17.5,4.6,4,24.4,0.088,1.1,10.4
3,WAS,Otto Porter,Georgetown University,6,391,10478,4248,1943,572,0.485,0.402,0.786,26.8,10.9,5,1.5,28.6,0.131,2,10.5
4,CHA,Cody Zeller,Indiana University,6,356,8152,2920,2054,485,0.512,0.25,0.741,22.9,8.2,5.8,1.4,24,0.141,0.9,5.9
5,PHO,Alex Len,University of Maryland,6,393,7738,2978,2487,315,0.485,0.308,0.703,19.7,7.6,6.3,0.8,14,0.087,-1.8,0.3
6,NOH,Nerlens Noel,University of Kentucky,5,280,6617,2357,1881,355,0.519,0.25,0.633,23.6,8.4,6.7,1.3,15.8,0.115,1.6,6
7,SAC,Ben McLemore,University of Kansas,6,368,8725,3239,909,407,0.417,0.353,0.783,23.7,8.8,2.5,1.1,4.6,0.026,-2.8,-1.7
8,DET,Kentavious Caldwell-Pope,University of Georgia,6,449,13376,5260,1491,723,0.411,0.345,0.794,29.8,11.7,3.3,1.6,22.6,0.081,0,6.9
9,MIN,Trey Burke,University of Michigan,6,344,8213,3746,720,1251,0.405,0.34,0.798,23.9,10.9,2.1,3.6,9.3,0.054,-2.2,-0.4
10,POR,CJ McCollum,Lehigh University,6,401,11988,7121,1255,1157,0.454,0.4,0.839,29.9,17.8,3.1,2.9,26.7,0.107,0.2,6.7
11,PHI,Michael Carter-Williams,Syracuse University,6,303,8038,3361,1370,1414,0.402,0.254,0.701,26.5,11.1,4.5,4.7,4.5,0.027,-0.8,2.4
12,OKC,Steven Adams,University of Pittsburgh,6,446,11861,4262,3245,443,0.59,0,0.564,26.6,9.6,7.3,1,37,0.15,1.7,11.1
13,DAL,Kelly Olynyk,Gonzaga University,6,412,8768,4066,2002,781,0.48,0.367,0.757,21.3,9.9,4.9,1.9,23.2,0.127,1.4,7.6
14,UTA,Shabazz Muhammad,"University of California, Los Angeles",5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-4.1,-2.5
15,MIL,Giannis Antetokounmpo,,6,449,14713,8265,3649,1829,0.519,0.275,0.741,32.8,18.4,8.1,4.1,50,0.163,4.2,23
16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,0.632,0.265,0.64,12.4,3.2,2.8,0.5,6,0.165,4.8,3
17,ATL,Dennis Schroder,,6,410,9992,5443,1076,1918,0.431,0.325,0.826,24.4,13.3,2.6,4.7,12.2,0.059,-2,0.1
18,ATL,Shane Larkin,University of Miami,4,256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.5,-0.6
19,CLE,Sergey Karasev,,3,95,1110,287,140,87,0.395,0.282,0.842,11.7,3,1.5,0.9,0.8,0.036,-3.1,-0.3
20,CHI,Tony Snell,University of New Mexico,6,429,9386,2686,1008,442,0.425,0.382,0.82,21.9,6.3,2.3,1,13,0.067,-1.9,0.3
21,UTA,Gorgui Dieng,University of Louisville,6,433,9979,3428,2734,607,0.505,0.324,0.791,23,7.9,6.3,1.4,23.8,0.114,1.6,9
22,BRK,Mason Plumlee,Duke University,6,450,9945,3850,2829,952,0.572,0.083,0.563,22.1,8.6,6.3,2.1,29.5,0.143,2.4,11
23,IND,Solomon Hill,University of Arizona,6,296,6746,1753,972,460,0.395,0.326,0.809,22.8,5.9,3.3,1.6,9.2,0.065,-0.6,2.3
24,NYK,Tim Hardaway,University of Michigan,6,393,10227,5125,1003,723,0.419,0.344,0.816,26,13,2.6,1.8,15.2,0.072,-1.7,0.8
25,LAC,Reggie Bullock,University of North Carolina,6,259,4917,1747,532,291,0.437,0.4,0.827,19,6.7,2.1,1.1,9.6,0.094,-0.5,1.9
26,MIN,Andre Roberson,University of Colorado,5,295,6651,1356,1188,257,0.482,0.257,0.467,22.5,4.6,4,0.9,12.7,0.092,0.6,4.4
27,DEN,Rudy Gobert,,6,386,11025,4183,4017,517,0.622,0,0.636,28.6,10.8,10.4,1.3,49.2,0.214,5,19.6
28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,
29,OKC,Archie Goodwin,University of Kentucky,4,165,2396,1040,331,206,0.429,0.236,0.7,14.5,6.3,2,1.2,1.1,0.022,-4.2,-1.3
30,PHO,Nemanja Nedovic,,1,24,142,26,15,13,0.205,0.167,0.875,5.9,1.1,0.6,0.5,-0.4,-0.132,-10.6,-0.3
31,CLE,Allen Crabbe,University of California,6,337,8274,3229,971,392,0.431,0.396,0.839,24.6,9.6,2.9,1.2,13.8,0.08,-1,2.1
32,OKC,Alex Abrines,,3,174,2777,924,248,88,0.387,0.368,0.88,16,5.3,1.4,0.5,5,0.086,-2.6,-0.4
33,CLE,Carrick Felix,Arizona State University,1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-4.7,0
34,HOU,Isaiah Canaan,Murray State University,6,233,4786,1913,436,453,0.372,0.352,0.836,20.5,8.2,1.9,1.9,4.3,0.044,-3,-1.2
35,PHI,Glen Rice,Georgia Institute of Technology,2,16,152,43,24,9,0.269,0.25,0.692,9.5,2.7,1.5,0.6,-0.2,-0.065,-7.3,-0.2
36,SAC,Ray McCallum,University of Detroit Mercy,3,154,2808,920,306,368,0.408,0.335,0.711,18.2,6,2,2.4,2.1,0.035,-2.8,-0.6
37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,1.3,0.1
38,WAS,Nate Wolters,South Dakota State University,3,84,1575,461,185,209,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-4,-0.8
39,POR,Jeff Withey,University of Kansas,5,206,2072,666,518,64,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.6,1.4
40,POR,Grant Jerrett,University of Arizona,1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-8.4,-0.1
41,MEM,Jamaal Franklin,San Diego State University,2,24,174,42,25,9,0.415,0.462,1,7.3,1.8,1,0.4,0,-0.006,-5.4,-0.1
42,PHI,Pierre Jackson,Baylor University,1,8,84,35,9,19,0.333,0.273,0.857,10.5,4.4,1.1,2.4,0,0.021,-4.4,-0.1
43,MIL,Ricky Ledo,Providence College,2,28,277,109,38,21,0.336,0.371,0.769,9.9,3.9,1.4,0.8,-0.6,-0.096,-7.8,-0.4
44,DAL,Mike Muscala,Bucknell University,6,293,4649,1668,960,276,0.468,0.363,0.84,15.9,5.7,3.3,0.9,11.4,0.118,0.1,2.4
45,POR,Marko Todorovic,,,,,,,,,,,,,,,,,,
46,UTA,Erick Green,Virginia Polytechnic Institute and State University,2,52,452,159,37,42,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-5.1,-0.3
47,ATL,Raul Neto,,4,187,2643,882,239,340,0.446,0.379,0.769,14.1,4.7,1.3,1.8,4.2,0.076,-2.1,-0.1
48,LAL,Ryan Kelly,Duke University,4,163,3125,981,504,215,0.378,0.316,0.797,19.2,6,3.1,1.3,3,0.046,-2.2,-0.2
49,CHI,Erik Murphy,University of Florida,1,24,62,6,8,2,0.231,0,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.1,-0.1
