,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
163,44,ATL,Isaia Cordinier,,,,,,,,,,,15.253846153846155,5.192307692307692,2.315384615384615,1.2,,0.06307692307692309,-2.7615384615384615,0.20769230769230768
164,45,BOS,Demetrius Jackson,University of Notre Dame,3.0,26.0,136.0,48.0,19.0,17.0,0.486,0.28600000000000003,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-2.1,0.0
165,46,DAL,A.J. Hammons,Purdue University,1.0,22.0,163.0,48.0,36.0,4.0,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0.0,-0.001,-5.6,-0.1
166,47,ORL,Jake Layman,University of Maryland,3.0,120.0,1329.0,511.0,195.0,58.0,0.462,0.32299999999999995,0.733,11.1,4.3,1.6,0.5,2.3,0.083,-1.3,0.2
167,48,CHI,Paul Zipser,,2.0,98.0,1667.0,458.0,256.0,82.0,0.371,0.335,0.769,17.0,4.7,2.6,0.8,0.0,-0.001,-4.8,-1.2
168,49,DET,Michael Gbinije,Syracuse University,1.0,9.0,32.0,4.0,3.0,2.0,0.1,0.0,1.0,3.6,0.4,0.3,0.2,-0.1,-0.136,-10.5,-0.1
169,50,IND,Georges Niang,Iowa State University,3.0,74.0,437.0,161.0,80.0,29.0,0.391,0.345,0.765,5.9,2.2,1.1,0.4,0.4,0.042,-3.6,-0.2
170,51,BOS,Ben Bentil,Providence College,1.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,,3.3,0.0,0.7,0.0,-0.1,-0.473,-26.9,-0.1
171,52,UTA,Joel Bolomboy,Weber State University,2.0,18.0,91.0,31.0,27.0,2.0,0.545,0.2,0.5,5.1,1.7,1.5,0.1,0.3,0.132,-3.7,0.0
172,53,DEN,Petr Cornelie,,,,,,,,,,,14.02222222222222,4.0,1.9333333333333331,0.9222222222222223,,0.013222222222222222,-4.266666666666667,0.17777777777777784
173,54,ATL,Kay Felder,Oakland University,2.0,58.0,526.0,223.0,59.0,78.0,0.364,0.268,0.754,9.1,3.8,1.0,1.3,-0.4,-0.040999999999999995,-7.7,-0.8
174,55,BRK,Marcus Paige,University of North Carolina,1.0,5.0,28.0,12.0,4.0,3.0,0.28600000000000003,0.25,1.0,5.6,2.4,0.8,0.6,0.0,-0.006,-6.9,0.0
175,56,DEN,Daniel Hamilton,University of Connecticut,2.0,25.0,232.0,69.0,52.0,30.0,0.39399999999999996,0.35700000000000004,0.5,9.3,2.8,2.1,1.2,0.0,0.0,-5.2,-0.2
176,57,MEM,Wang Zhelin,,,,,,,,,,,7.3,1.75,0.75,1.15,,-0.05,-6.55,-0.25
177,58,BOS,Abdel Nader,Iowa State University,2.0,90.0,951.0,305.0,143.0,36.0,0.39899999999999997,0.359,0.639,10.6,3.4,1.6,0.4,0.6,0.028999999999999998,-5.5,-0.8
178,59,SAC,Isaiah Cousins,University of Oklahoma,,,,,,,,,,12.25,3.2,2.2,0.7,,0.0005000000000000004,-4.75,-0.25
179,60,UTA,Tyrone Wallace,University of California,2.0,78.0,1352.0,468.0,184.0,101.0,0.435,0.23600000000000002,0.669,17.3,6.0,2.4,1.3,0.6,0.021,-3.4,-0.5
180,1,MIN,Karl-Anthony Towns,University of Kentucky,4.0,306.0,10570.0,6739.0,3619.0,776.0,0.5379999999999999,0.39,0.835,34.5,22.0,11.8,2.5,43.7,0.198,5.0,18.6
181,2,LAL,D'Angelo Russell,Ohio State University,4.0,253.0,7178.0,4061.0,918.0,1233.0,0.418,0.35200000000000004,0.772,28.4,16.1,3.6,4.9,5.5,0.037000000000000005,0.0,3.5
182,3,PHI,Jahlil Okafor,Duke University,4.0,173.0,3699.0,2018.0,893.0,160.0,0.526,0.182,0.6859999999999999,21.4,11.7,5.2,0.9,4.9,0.064,-3.5,-1.4
183,4,NYK,Kristaps Porzingis,,3.0,186.0,5764.0,3312.0,1317.0,248.0,0.43700000000000006,0.361,0.804,31.0,17.8,7.1,1.3,12.1,0.1,-0.1,2.8
184,5,ORL,Mario Hezonja,,4.0,267.0,4946.0,1884.0,780.0,326.0,0.414,0.32299999999999995,0.8009999999999999,18.5,7.1,2.9,1.2,2.2,0.021,-3.1,-1.4
185,6,SAC,Willie Cauley-Stein,University of Kentucky,4.0,275.0,6580.0,2764.0,1712.0,441.0,0.528,0.222,0.613,23.9,10.1,6.2,1.6,15.5,0.113,0.5,4.1
186,7,DEN,Emmanuel Mudiay,,4.0,230.0,5855.0,2665.0,697.0,958.0,0.392,0.318,0.7340000000000001,25.5,11.6,3.0,4.2,-1.0,-0.008,-3.7,-2.6
187,8,DET,Stanley Johnson,University of Arizona,4.0,274.0,5991.0,1906.0,938.0,402.0,0.371,0.29,0.76,21.9,7.0,3.4,1.5,3.2,0.026000000000000002,-2.1,-0.2
188,9,CHO,Frank Kaminsky,University of Wisconsin,4.0,261.0,5778.0,2489.0,1021.0,416.0,0.415,0.34700000000000003,0.7559999999999999,22.1,9.5,3.9,1.6,9.8,0.081,-1.2,1.2
189,10,MIA,Justise Winslow,Duke University,4.0,218.0,6143.0,1899.0,1165.0,560.0,0.415,0.342,0.6509999999999999,28.2,8.7,5.3,2.6,7.1,0.055,-0.9,1.7
190,11,IND,Myles Turner,University of Texas at Austin,4.0,262.0,7322.0,3358.0,1719.0,322.0,0.498,0.366,0.772,27.9,12.8,6.6,1.2,20.7,0.136,1.3,6.2
191,12,UTA,Trey Lyles,University of Kentucky,4.0,279.0,4955.0,2159.0,1104.0,296.0,0.43200000000000005,0.332,0.7040000000000001,17.8,7.7,4.0,1.1,8.2,0.079,-2.4,-0.5
192,13,PHO,Devin Booker,University of Kentucky,4.0,255.0,8338.0,5277.0,866.0,1038.0,0.43200000000000005,0.35600000000000004,0.85,32.7,20.7,3.4,4.1,8.2,0.047,-1.4,1.2
